Title,Baths,Floor,Usable area,Beds,Rent Price,Location,Url
The Montane Penthouse Unit Modern Japanese Style Interior Design,2.0,33.0,79.0,2.0,95000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-the-montane-bgc-metro-manila_51b555c700f7-7d7f-a062-9a00-c47a1089
"Pacific Plaza Towers North – Fully-Furnished 3-Bedroom Condo for Sale in BGC, Taguig | DR88-002041",3.0,17.0,300.0,3.0,280000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_e2edd52fc64f-a45e-ae92-0f70-3cf40089
"2 Bedroom For Lease in West Gallery Place, Taguig City",2.0,18.0,136.0,2.0,240000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_c248728b252d-0a40-d352-0a47-ce6b2089
For Lease: East Gallery Place BGC,2.0,9.0,137.0,2.0,195000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-east-gallery-place-bgc-metro-manila_3f67ea1fc344-226f-c772-28d1-cdc50089
LEASE TO OWN Condo For Sale The Trion Towers Rent to own in BGC walking distance to SM aura,1.0,50.0,42.34,1.0,100000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-or-rent-in-the-trion-towers-iii-bgc-metro-manila_c4ab44b1650a-1fae-fbb2-c2cd-98935089
"FOR RENT: 3-Bedroom + Maid’s Room Condo – Uptown Parksuites Tower 1, BGC Taguig",3.0,24.0,89.0,3.0,120000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-uptown-parksuites-bgc-metro-manila_46c6b93a9959-eaae-f9f2-1056-28080089
"FOR LEASE/FOR SALE: Newly Renovated 1-Bedroom at Serendra, BGC",1.0,19.0,56.0,1.0,65000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-or-rent-in-the-meranti-at-two-serendra-bgc-metro-manila_734a68e221a7-e12f-f682-a30d-209e1089
"FOR LEASE/SALE: Fully-furnished 2-Bedroom Loft with Balcony - Encino, Serendra, BGC, Taguig",2.0,15.0,91.0,2.0,90000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-or-rent-in-the-encino-at-two-serendra-bgc-metro-manila_8313c1e18bec-f8b1-fa72-ecfb-15f31089
"2 Bedroom unit for Rent in Trion Tower 2, Bonifacio Global City, Taguig City",2.0,27.0,58.0,2.0,50000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_9c69ed1e0f83-126e-74c2-887f-ca632089
LEASE TO OWN CONDO IN BGC THE TRION TOWERS,1.0,50.0,54.3,1.0,100000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-or-rent-in-the-trion-towers-iii-bgc-metro-manila_db96d9155654-0cbf-9662-a7e8-7a035089
